estacao=Bauru (automatica) (9000392)
municipio=Bauru (3506003)
latitude=-22,3166
longitude=-49,0666
altitude=517,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
21/09/2022;16,3;não;19,6;não;22,9;não;12,0;não;0;0;73,0;não;100,0;não;1,76;5,48;3,4;70,0;23:00:00;16,0;19,8;936,4;942,5;1,76;33,29
20/09/2022;15,4;não;21,85;não;28,3;não;0,2;não;5;6;54,0;não;98,0;não;3,67;13,39;0,4;145,0;23:00:00;13,0;19,0;938,0;941,6;1,01;23,05
19/09/2022;12,5;não;22,45;não;32,4;não;0,0;não;4;5;32,0;não;84,0;não;5,58;21,42;3,4;169,0;23:00:00;7,7;16,5;937,5;943,3;1,37;23,86
18/09/2022;11,7;não;19,95;não;28,2;não;0,0;não;3;4;29,0;não;78,0;não;4,13;22,81;1,0;84,0;23:00:00;6,4;10,9;940,5;946,2;1,06;25,23
17/09/2022;12,0;não;18,35;não;24,7;não;0,0;não;2;3;29,0;não;91,0;não;2,72;23,09;1,7;114,0;23:00:00;4,2;12,2;943,8;948,6;0,73;26,29
16/09/2022;13,6;não;19,15;não;24,7;não;0,0;não;1;2;46,0;não;95,0;não;2,53;19,66;2,2;137,0;23:00:00;10,8;15,4;944,7;948,0;0,69;27,02
15/09/2022;15,3;não;17,0;não;18,7;não;6,8;não;0;1;79,0;não;100,0;não;0,91;5,55;1,1;153,0;23:00:00;14,6;16,7;943,7;947,9;0,91;27,71
14/09/2022;16,4;não;19,35;não;22,3;não;11,8;não;0;0;70,0;não;100,0;não;1,58;4,1;0,2;273,0;23:00:00;15,6;19,8;939,9;946,4;1,58;21,82
13/09/2022;16,3;não;23,5;não;30,7;não;0,2;não;6;34;38,0;não;93,0;não;4,79;11,0;0,9;140,0;23:00:00;14,4;17,4;938,9;942,2;0,74;11,6
12/09/2022;13,0;não;20,35;não;27,7;não;0,0;não;5;33;44,0;não;91,0;não;3,69;9,48;1,4;121,0;23:00:00;11,2;16,4;939,0;944,9;0,46;12,14
11/09/2022;14,3;não;20,95;não;27,6;não;0,0;não;4;32;41,0;não;91,0;não;3,46;16,05;2,6;103,0;23:00:00;10,5;16,6;941,6;946,3;0,44;12,6
10/09/2022;20,2;não;27,35;não;34,5;não;0,0;não;3;31;23,0;não;58,0;não;5,48;16,37;1,0;260,0;23:00:00;8,5;16,4;940,9;945,1;0,74;13,04
09/09/2022;19,3;não;27,1;não;34,9;não;0,0;não;2;30;21,0;não;67,0;não;5,63;16,88;0,2;31,0;23:00:00;9,1;14,0;941,1;945,3;0,79;13,78
08/09/2022;16,9;não;24,6;não;32,3;não;0,0;não;1;29;27,0;não;82,0;não;5,2;16,45;0,5;55,0;23:00:00;10,5;14,7;940,1;944,8;0,78;14,57
07/09/2022;15,0;não;19,5;não;24,0;não;1,4;não;0;28;51,0;não;100,0;não;2,13;10,99;1,5;88,0;23:00:00;12,4;17,3;942,8;951,8;1,51;15,35
06/09/2022;13,9;não;18,6;não;23,3;não;1,4;não;0;27;53,0;não;98,0;não;2,03;13,87;2,7;119,0;23:00:00;11,8;15,5;946,7;951,5;1,5;15,46
05/09/2022;12,7;não;19,55;não;26,4;não;0,0;não;15;26;43,0;não;83,0;não;3,17;9,85;2,7;127,0;23:00:00;9,5;13,6;946,6;950,3;0,5;15,56
04/09/2022;12,1;não;17,7;não;23,3;não;0,0;não;14;25;47,0;não;92,0;não;2,19;15,03;2,2;151,0;23:00:00;8,7;13,2;944,9;949,2;0,36;16,06
03/09/2022;16,9;não;24,8;não;32,7;não;0,0;não;13;24;22,0;não;70,0;não;5,31;15,07;2,6;159,0;23:00:00;7,5;14,8;941,7;945,4;0,89;16,42
02/09/2022;16,4;não;23,85;não;31,3;não;0,0;não;12;23;21,0;não;60,0;não;4,96;17,49;0,0;263,0;23:00:00;6,0;10,2;942,3;946,2;0,89;17,31
01/09/2022;11,7;não;20,25;não;28,8;não;0,0;não;11;22;27,0;não;86,0;não;4,67;17,87;1,5;68,0;23:00:00;6,8;10,9;942,6;950,6;0,87;18,2
31/08/2022;11,9;não;18,95;não;26,0;não;0,0;não;10;21;33,0;não;82,0;não;3,08;17,55;1,2;99,0;23:00:00;7,9;10,3;945,3;951,0;0,59;19,07
30/08/2022;11,1;não;16,7;não;22,3;não;0,0;não;9;20;38,0;não;79,0;não;1,98;13,44;2,7;114,0;23:00:00;5,7;8,4;948,0;951,9;0,39;19,66
29/08/2022;12,5;não;17,4;não;22,3;não;0,0;não;8;19;44,0;não;81,0;não;1,85;16,07;4,0;130,0;23:00:00;7,5;14,1;946,2;951,0;0,38;20,05
28/08/2022;18,9;não;26,05;não;33,2;não;0,0;não;7;18;19,0;não;60,0;não;5,26;16,24;2,4;112,0;23:00:00;5,5;14,3;943,2;946,4;1,1;20,43
27/08/2022;17,0;não;24,35;não;31,7;não;0,0;não;6;17;19,0;não;63,0;não;5,02;15,78;0,0;209,0;23:00:00;4,7;11,6;941,7;946,4;1,11;21,53
26/08/2022;17,6;não;24,2;não;30,8;não;0,0;não;5;16;20,0;não;81,0;não;4,68;14,63;0,6;157,0;23:00:00;5,0;15,0;938,6;948,5;1,09;22,64
25/08/2022;14,9;não;22,15;não;29,4;não;0,0;não;4;15;21,0;não;95,0;não;3,99;12,29;0,8;70,0;23:00:00;4,6;14,8;945,5;949,1;0,96;23,73
24/08/2022;12,6;não;20,8;não;29,0;não;0,0;não;3;14;28,0;não;93,0;não;4,64;15,71;0,5;171,0;23:00:00;7,0;13,4;945,9;950,8;1,17;24,69
23/08/2022;11,4;não;19,1;não;26,8;não;0,0;não;2;13;32,0;não;98,0;não;3,39;15,82;0,9;179,0;23:00:00;7,8;13,0;946,9;954,6;0,9;25,86
22/08/2022;11,5;não;18,65;não;25,8;não;0,4;não;1;12;42,0;não;98,0;não;3,0;15,43;0,9;179,0;23:00:00;11,2;14,0;946,4;951,4;1,1;26,76
21/08/2022;11,7;não;16,15;não;20,6;não;1,6;não;0;11;60,0;não;97,0;não;1,47;7,39;1,5;172,0;23:00:00;9,0;13,7;949,6;952,6;1,47;27,46
20/08/2022;8,1;não;14,2;não;20,3;não;0,0;não;1;10;50,0;não;83,0;não;1,68;10,65;2,5;106,0;23:00:00;4,2;9,9;949,8;952,9;0,46;27,33
19/08/2022;10,7;não;13,75;não;16,8;não;1,4;não;0;9;60,0;não;100,0;não;0,8;9,41;2,8;130,0;23:00:00;7,0;15,4;945,1;952,7;0,8;27,79
18/08/2022;15,7;não;17,6;não;19,5;não;0,0;não;1;8;71,0;não;99,0;não;0,97;2,59;3,0;224,0;23:00:00;13,3;17,2;937,3;945,6;0,26;27,19
17/08/2022;16,7;não;19,15;não;21,6;não;2,2;não;0;7;67,0;não;98,0;não;1,31;2,81;0,9;62,0;22:00:00;14,5;18,9;940,7;944,9;1,31;27,45
16/08/2022;16,8;não;24,2;não;31,6;não;0,0;não;6;6;26,0;não;67,0;não;5,01;12,5;3,4;216,0;23:00:00;9,0;15,1;938,5;943,2;1,36;26,56
15/08/2022;16,8;não;23,65;não;30,5;não;0,0;não;5;5;25,0;não;63,0;não;4,67;12,69;0,1;329,0;23:00:00;8,1;11,0;939,2;944,9;1,34;27,92
14/08/2022;14,4;não;22,65;não;30,9;não;0,0;não;4;4;21,0;não;80,0;não;5,04;12,14;0,1;74,0;23:00:00;5,5;12,9;943,2;948,2;1,51;29,26
13/08/2022;12,2;não;20,2;não;28,2;não;0,0;não;3;3;26,0;não;97,0;não;3,77;12,0;0,8;128,0;23:00:00;6,2;12,1;946,3;950,3;1,18;30,77
12/08/2022;10,7;não;17,3;não;23,9;não;0,0;não;2;2;40,0;não;98,0;não;2,41;11,83;1,0;87,0;23:00:00;7,4;12,0;946,3;950,5;0,78;31,95
